Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,Unnamed: 28,Name-additional
Kyle Kendrick,26,us US,R,R,"6' 3""",220,8/26/84,5,35,14,34,34,34,0,0,0,0,0,0,0,0,0,0,0,1,1.9,"$2,450,000 ",,kendrky01
Erik Kratz,31,us US,R,R,"6' 4""",250,6/15/80,2,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,,,kratzer01
Cliff Lee,32,us US,L,L,"6' 3""",205,8/30/78,10,35,32,34,32,32,0,0,0,0,0,0,0,0,0,0,2,1,9.0,"$11,000,000 ",All-Star,leecl02
Brad Lidge,34,us US,R,R,"6' 5""",210,12/23/76,10,25,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0.9,"$12,000,000 ",,lidgebr01
Ryan Madson,30,us US,L,R,"6' 6""",234,8/28/80,9,62,0,61,62,62,0,0,0,0,0,0,0,0,0,0,0,0,2.1,"$4,833,333 ",,madsory01
Michael Martínez,28,do DO,B,R,"5' 9""",180,9/16/82,1st,88,48,88,68,0,0,0,19,26,13,2,12,0,14,0,20,8,0.2,"$414,000 ",,martimi02
Scott Mathieson,27,ca CA,R,R,"6' 3""",230,2/27/84,3,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,,mathisc01
John Mayberry,27,us US,R,R,"6' 6""",235,12/21/83,3,104,60,104,73,0,0,18,0,0,0,21,32,10,61,0,35,4,1.6,"$414,000 ",,maybejo02
Brandon Moss,27,us US,L,R,"6' 1""",210,9/16/83,5,5,0,5,1,0,0,0,0,0,0,0,0,1,1,0,4,1,-0.1,,,mossbr01
Pete Orr,32,ca CA,L,R,"6' 1""",195,6/8/79,6,46,24,46,31,0,0,0,29,3,0,0,0,0,0,0,17,3,0.1,"$600,000 ",,orrpe01
Roy Oswalt,33,us US,R,R,"6' 0""",190,8/29/77,11,24,24,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,1.8,"$16,000,000 ",,oswalro01
Hunter Pence,28,us US,R,R,"6' 4""",216,4/13/83,5,54,53,54,53,0,0,0,0,0,0,0,0,53,53,0,1,0,2.3,,,pencehu01
Juan Pérez,32,do DO,R,L,"6' 0""",190,9/3/78,3,8,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,perezju01
Plácido Polanco,35,do DO,R,R,"5' 9""",190,10/10/75,14,122,116,122,118,0,0,0,1,118,0,0,0,0,0,1,5,0,1.9,"$5,416,666 ",All-Star,polanpl01
Jimmy Rollins,32,us US,B,R,"5' 7""",175,11/27/78,12,142,135,142,138,0,0,0,0,0,138,0,0,0,0,1,5,0,2.7,"$8,500,000 ",,rolliji01
J.C. Romero,35,pr PR,B,L,"5' 11""",205,6/4/76,13,24,0,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0.2,"$1,350,000 ",,romerj.01
Carlos Ruiz,32,pa PA,R,R,"5' 10""",215,1/22/79,6,132,114,132,128,0,128,0,0,1,0,0,0,0,0,0,13,0,2.9,"$2,750,000 ",,ruizca01
Dane Sardinha,32,us US,R,R,"6' 0""",215,4/8/79,6,15,12,15,15,0,15,0,0,0,0,0,0,0,0,0,1,1,0.2,,,sardida01
Joe Savery,25,us US,L,L,"6' 3""",235,11/4/85,1st,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,saverjo01
Brian Schneider,34,us US,L,R,"6' 1""",210,11/26/76,12,41,35,41,40,0,40,0,0,0,0,0,0,0,0,0,3,0,-0.9,"$1,625,000 ",,schnebr01
Michael Schwimer,25,us US,R,R,"6' 8""",240,2/19/86,1st,12,0,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,schwimi01
Michael Stutes,24,us US,R,R,"6' 1""",185,9/4/86,1st,57,0,55,56,57,0,0,0,0,0,0,0,0,0,0,0,0,0.8,,,sttuemi01
Chase Utley,32,us US,L,R,"6' 1""",195,12/17/78,9,103,100,103,100,0,0,0,100,0,0,0,0,0,0,0,3,0,3.8,"$15,285,714 ",,utleych01
Wilson Valdez,33,do DO,R,R,"5' 11""",170,5/20/78,6,99,74,99,94,1,0,0,45,24,25,0,0,0,0,0,8,5,-0.5,"$560,000 ",,valdewi01
Shane Victorino,30,us US,B,R,"5' 9""",190,11/30/80,8,132,128,132,130,0,0,0,0,0,0,0,130,0,130,0,3,0,5.5,"$7,500,000 ",All-Star,victosh01
Vance Worley,23,us US,R,R,"6' 2""",240,9/25/87,2,25,21,24,25,25,0,0,0,0,0,0,0,0,0,0,0,0,3.5,,,worleva01
Mike Zagurski,28,us US,L,L,"6' 0""",240,1/27/83,3,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,zagurmi01
